,count,mean,std,min,25%,50%,75%,max,99%,98%,95%,90%
0lx,294.0,837.1768707482993,727.8439027476744,2.0,356.75,691.5,1119.75,3462.0,3326.1599999999994,3167.239999999999,2479.0499999999984,1679.8999999999996
0nepush,253.0,1399.8853754940712,836.3221489408759,313.0,736.0,1157.0,1953.0,3570.0,3468.68,3307.8,3020.7999999999993,2763.600000000001
0pachk1,177.0,787.8983050847457,665.6556242186564,2.0,333.0,581.0,1079.0,3358.0,3111.7600000000016,2669.5199999999995,2126.199999999999,1640.8000000000009
0prawca,148.0,1093.1756756756756,807.5538162915358,87.0,519.75,838.5,1351.0,3581.0,3503.7799999999997,3422.9,3246.500000000001,2076.500000000002
0rysh,223.0,1118.4304932735427,809.2487692900764,24.0,503.0,920.0,1489.5,3517.0,3425.52,3129.2000000000007,2799.2999999999997,2435.4000000000005
0shiki0,149.0,1147.4295302013422,696.3384472913507,300.0,540.0,1009.0,1631.0,3301.0,3287.32,3100.4399999999987,2484.3999999999996,2032.4000000000005
0ura,145.0,851.744827586207,551.2622734752381,58.0,473.0,692.0,1157.0,2813.0,2459.84,2325.3600000000006,1979.5999999999979,1625.9999999999995
0wn3DDDDDD,110.0,818.0272727272727,719.3933027350315,4.0,377.25,656.0,995.0,3485.0,3145.54,3027.4199999999983,2524.85,1698.8000000000009
1009624606,283.0,847.5123674911661,646.8156278312905,5.0,428.0,658.0,1099.0,3525.0,3192.26,2767.0800000000017,2205.7999999999993,1728.0000000000007
1009killer,323.0,1093.8049535603716,791.1543471214544,7.0,540.0,859.0,1409.5,3541.0,3363.659999999996,3203.5200000000004,2780.4,2367.4
100Pwnz,337.0,946.0118694362018,677.2338871866465,37.0,495.0,765.0,1207.0,3569.0,3008.2,2864.7599999999993,2542.3999999999996,1803.4
100번째밤,384.0,501.2317708333333,522.441037867462,8.0,194.0,380.0,587.25,3569.0,2484.9200000000073,2213.0399999999986,1662.8999999999994,938.2999999999995
1014664399,115.0,1094.495652173913,735.5260723122641,70.0,517.5,871.0,1510.5,3081.0,3078.02,2994.16,2615.7,2245.2000000000003
102blues,193.0,1105.6476683937824,781.4530937400461,164.0,526.0,833.0,1460.0,3422.0,3322.6,3293.68,2868.3999999999987,2394.800000000001
1091638979,167.0,817.2634730538922,704.4517153931811,1.0,326.0,605.0,1077.5,3557.0,2996.9200000000014,2792.5600000000013,2336.5999999999995,1785.6000000000001
1173181226,1399.0,548.5654038598999,442.9235134253163,2.0,240.0,450.0,724.0,3354.0,2217.14,1812.08,1375.0,1094.0000000000002
11qq11q,345.0,1049.6782608695653,753.64938351732,48.0,526.0,864.0,1344.0,3599.0,3349.56,3133.4000000000005,2684.000000000001,2247.4000000000005
11thHour,410.0,1145.7317073170732,710.8705164572709,303.0,596.0,958.5,1509.75,3567.0,3388.749999999999,3045.3,2694.6999999999994,2191.7000000000007
121344dfdfg,1513.0,454.7263714474554,464.4783447587778,1.0,220.0,328.0,532.0,3475.0,2730.319999999995,1979.7999999999993,1327.799999999997,876.5999999999999
121joro,250.0,766.792,608.6630261925027,11.0,400.25,634.5,924.0,3486.0,3185.6099999999988,2824.179999999999,1891.749999999999,1373.2
12345AS,658.0,556.8100303951368,458.00274047188356,6.0,249.0,473.0,759.25,3143.0,2403.4499999999994,1929.6200000000003,1359.6,1094.3000000000002
123matte,196.0,812.5561224489796,608.8601724982766,25.0,392.75,654.0,1087.5,3040.0,2583.1500000000015,2339.299999999999,2119.5,1758.5
123olif456,160.0,1145.98125,762.4828318254887,67.0,610.25,941.5,1481.5,3177.0,3016.5899999999992,2880.54,2808.0999999999995,2365.7
123sidd456we789,182.0,1016.6098901098901,675.5526704183621,60.0,531.25,851.0,1358.0,3420.0,3124.0599999999995,2853.319999999999,2321.95,1890.3000000000002
13527629671,112.0,1552.017857142857,805.3597370023882,2.0,830.5,1770.5,2047.25,3457.0,3298.94,3214.0000000000005,2828.7999999999993,2464.3
13670158895,1114.0,564.3895870736086,508.30095658094643,1.0,221.25,429.0,722.75,3571.0,2581.0499999999984,2109.44,1529.6999999999998,1181.4
1369730269,108.0,683.7777777777778,677.2551712450729,4.0,202.75,536.5,820.25,3292.0,3021.4299999999967,2599.34,2390.749999999998,1434.2999999999997
1377328458,158.0,1205.6012658227849,736.3969517669366,304.0,674.0,988.5,1511.25,3553.0,3174.200000000003,2916.18,2779.05,2351.4
13TerapevT13,172.0,1450.1337209302326,871.2005023801795,323.0,723.0,1287.0,2084.5,3578.0,3495.0399999999995,3391.759999999999,3191.0999999999995,2773.2000000000007
13lade,942.0,721.9787685774947,702.4931505298175,8.0,237.0,509.5,952.25,3463.0,3240.7700000000004,2903.059999999999,2344.7499999999995,1657.8
13luKnight,156.0,783.8589743589744,604.9482990302447,21.0,360.0,672.0,1015.75,3512.0,3044.799999999994,2469.2000000000016,1864.25,1560.5
13ullOnParade,323.0,387.20743034055727,314.3167049339236,7.0,160.0,318.0,539.0,2172.0,1358.7199999999993,1299.44,939.6999999999999,806.6000000000004
1472bil,1440.0,634.2777777777778,588.3988679958967,4.0,238.75,474.0,801.0,3547.0,3092.709999999999,2423.42,1834.149999999999,1395.800000000001
147852369A,691.0,735.465991316932,537.811636588898,20.0,381.5,588.0,872.5,3505.0,2835.9000000000024,2509.2,1862.5,1394.0
1480c2,125.0,776.84,572.3053606305393,7.0,411.0,625.0,1099.0,3124.0,2835.680000000002,2373.799999999999,1865.7999999999997,1401.4
14InCeDeNt88,297.0,1076.7070707070707,769.02338802859,13.0,525.0,859.0,1447.0,3513.0,3288.5600000000018,3156.199999999999,2703.6,2354.4000000000015
15542387639,1217.0,651.3114215283484,569.8787663744871,1.0,303.0,509.0,795.0,3512.0,3019.3999999999996,2470.0,1843.6000000000013,1347.400000000001
15i,251.0,703.2788844621514,650.428186591226,8.0,285.5,516.0,879.0,3597.0,3287.0,2684.0,1948.5,1529.0
160120,437.0,896.8466819221968,764.9631230658523,1.0,362.0,681.0,1108.0,3579.0,3395.6399999999994,3114.2399999999993,2576.5999999999995,2144.2000000000003
1733601481,673.0,555.0237741456167,713.9606723733833,1.0,105.0,265.0,658.0,3530.0,3133.5599999999995,2909.4799999999955,2239.3999999999996,1534.0000000000011
17508962250,104.0,819.8461538461538,621.9953917543958,12.0,435.5,685.5,1113.0,3353.0,3208.3799999999997,2942.1399999999994,1806.7499999999998,1458.2
17cha,357.0,1007.5070028011204,764.372466476261,14.0,436.0,755.0,1348.0,3582.0,3325.76,3103.3599999999997,2526.2000000000003,2204.2000000000016
1804,107.0,832.3177570093458,664.4591586769186,12.0,367.0,666.0,1063.5,3487.0,2621.08,2574.439999999999,2230.9999999999977,1862.8000000000009
187dt187,536.0,710.7593283582089,560.2403422053025,20.0,348.5,587.5,925.25,3467.0,2772.8499999999967,2371.2999999999984,1757.25,1411.5
187xTTV,283.0,1075.9187279151943,788.0464739750287,2.0,504.5,823.0,1407.5,3574.0,3356.9000000000005,3190.52,2902.799999999999,2289.2000000000003
1914KENT1918,116.0,1292.5258620689656,736.562585802183,123.0,683.5,1182.5,1830.25,3403.0,3124.7499999999986,2890.4,2711.75,2361.0
19Zoska,612.0,724.187908496732,515.9358449037072,1.0,382.75,610.5,929.25,3598.0,2539.739999999998,2200.58,1762.1499999999996,1412.5
19troy88,104.0,907.7211538461538,653.7073876547395,301.0,486.75,720.0,1027.75,3340.0,3182.39,2992.54,2553.3999999999987,1640.5
1Dekterev,149.0,709.6308724832214,514.968082834021,9.0,356.0,568.0,935.0,3029.0,2269.4000000000005,1891.239999999997,1768.9999999999998,1348.8000000000006
1FIc,103.0,1127.5533980582525,756.6908961503182,15.0,523.5,999.0,1494.5,3543.0,3495.5000000000014,3203.7599999999966,2624.9999999999995,2160.6
1Greenlantern1,879.0,691.575654152446,629.8004246194154,3.0,294.0,523.0,889.0,3553.0,3048.1800000000017,2543.519999999997,2037.1,1567.6000000000001
1MoZz,143.0,1206.041958041958,718.4164204392202,312.0,633.5,1025.0,1614.0,3447.0,3176.1400000000017,3036.0,2676.9,2094.7999999999997
1SIKO1,377.0,916.4588859416446,660.4947887692293,50.0,482.0,720.0,1152.0,3490.0,3257.6000000000004,2819.0400000000004,2175.7999999999993,1860.000000000002
1UnKnoWn9,207.0,1022.0048309178744,813.5569838652768,46.0,448.5,720.0,1347.0,3595.0,3419.7,3292.9599999999996,2915.0,2318.6000000000004
